MESSAGE_ID,MESSAGE_LOCATION,USER_LOCATION
"tag:search.twitter.com,2005:774941175904137216",,POINT (75.8390601 25.1825399)
"tag:search.twitter.com,2005:778816207797440513",,POINT (75.8333000 22.7179199)
"tag:search.twitter.com,2005:771244265628282881",,POINT (73.0158200 19.0368100)
"tag:search.twitter.com,2005:535457361289158656",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771290334164901888",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:611929272853270528",,POINT (80.3462700 26.4478000)
"tag:search.twitter.com,2005:771653495875260416",,POINT (103.8000001 1.3666701)
"tag:search.twitter.com,2005:772849369985024001",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771253125239812097",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:774599170678222848",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:766935205869486080",,POINT (78.4563600 17.3840499)
"tag:search.twitter.com,2005:771950339784400896",,POINT (73.8553500 18.5195701)
"tag:search.twitter.com,2005:587936209801838592",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:772065853013712896",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:770227031959371776",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771342988203044865",,POINT (73.0158200 19.0368100)
"tag:search.twitter.com,2005:611929274128269312",,POINT (76.9661200 11.0055500)
"tag:search.twitter.com,2005:771359815323058176",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:777229491282124801",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:772678977626382336",,POINT (79.9500599 23.1669700)
"tag:search.twitter.com,2005:772012662930583552",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:777738547251949568",,POINT (77.5936901 12.9719401)
"tag:search.twitter.com,2005:681391653123297280",,POINT (-1.4316600 52.7321299)
"tag:search.twitter.com,2005:699245109074751489",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:769796020268044288",,POINT (80.7500000 27.2500000)
"tag:search.twitter.com,2005:773487350454312960",,POINT (77.8944400 11.3801601)
"tag:search.twitter.com,2005:550305755299979265",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:776137388485521408",,POINT (76.9492400 8.4855000)
"tag:search.twitter.com,2005:773506025190100992",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:775957105110945792",,POINT (86.3372900 20.8485201)
"tag:search.twitter.com,2005:771503396008243200",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:772735705600720897",,POINT (76.9661200 11.0055500)
"tag:search.twitter.com,2005:771298905212542976",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:771319150312615936",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:581389196557824000",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:768784497999503360",,POINT (88.3630400 22.5626299)
"tag:search.twitter.com,2005:772848485410504704",,POINT (-1.7811601 51.5579699)
"tag:search.twitter.com,2005:766176762032250880",,POINT (73.0158200 19.0368100)
"tag:search.twitter.com,2005:777492148245659648",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:777735308402012161",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771607229355012097",,POINT (76.0000000 29.0000000)
"tag:search.twitter.com,2005:778551914246078464",,POINT (73.8553500 18.5195701)
"tag:search.twitter.com,2005:771284153862086657",,POINT (72.9660199 23.5989299)
"tag:search.twitter.com,2005:681397893408768000",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771238906150780928",,POINT (-61.1999999 13.0833300)
"tag:search.twitter.com,2005:775525858127773696",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771255253429649409",,POINT (78.4563600 17.3840499)
"tag:search.twitter.com,2005:771688417654628353",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:773153641133969409",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771310489896747009",,POINT (79.9867400 14.4536300)
"tag:search.twitter.com,2005:773053841021382656",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771582865477775360",,POINT (73.8553500 18.5195701)
"tag:search.twitter.com,2005:771337822099865601",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771255466101878786",,POINT (73.8553500 18.5195701)
"tag:search.twitter.com,2005:774215772289638400",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:772049710794153984",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:768090458560073729",,POINT (85.8249399 19.7982499)
"tag:search.twitter.com,2005:681380757563125761",,POINT (-61.1999999 13.0833300)
"tag:search.twitter.com,2005:752465361241575426",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:769431430791307264",,POINT (73.0158200 19.0368100)
"tag:search.twitter.com,2005:769396666315210752",,POINT (78.4563600 17.3840499)
"tag:search.twitter.com,2005:772057978618933248",,POINT (55.3333300 25.0000000)
"tag:search.twitter.com,2005:681380663191154689",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771227797498888193",,POINT (72.8826099 19.0728300)
